best_true_delta,candidate_count,chosen_true_delta,graph_id,kendall,mae,rmse,spearman,split,step,top1_hit
0.0,31,0.0,synthetic_test_000,0.0,1.3578571556280963e-05,1.3578571556280963e-05,0.0,synthetic_test,24,1
0.0,26,0.0,synthetic_test_000,0.0,1.3578571556280963e-05,1.3578571556280963e-05,0.0,synthetic_test,25,1
0.0,31,0.0,synthetic_test_000,0.0,1.3578571556280963e-05,1.3578571556280963e-05,0.0,synthetic_test,26,1
0.0,29,0.0,synthetic_test_000,0.0,1.3578571556280963e-05,1.3578571556280963e-05,0.0,synthetic_test,27,1
0.0,31,0.0,synthetic_test_000,0.0,1.3578571556280963e-05,1.3578571556280963e-05,0.0,synthetic_test,28,1
0.0,27,0.0,synthetic_test_000,0.0,1.3578571556280963e-05,1.3578571556280963e-05,0.0,synthetic_test,29,1
0.009615384615384581,30,0.009615384615384581,synthetic_test_001,0.7961521636700709,0.00023659136210774518,0.00046252127285555084,0.8503257565283843,synthetic_test,0,1
0.009615384615384581,33,0.009615384615384581,synthetic_test_001,0.8271701918685112,0.00021442258190220858,0.0004412553484526598,0.8721458008110459,synthetic_test,1,1
0.009615384615384581,32,0.009615384615384581,synthetic_test_001,0.8333333333333333,0.0002211422512265159,0.0004490459422609305,0.8745389388932521,synthetic_test,2,1
0.009615384615384581,33,0.009615384615384581,synthetic_test_001,0.9839131599805843,0.00021442258190220855,0.00044264092188417144,0.9965217285917831,synthetic_test,3,1
0.04807692307692313,28,0.04807692307692313,synthetic_test_001,0.9186416270909947,0.000861632177410866,0.002575275619594491,0.9545816437841665,synthetic_test,4,1
0.009615384615384581,29,0.009615384615384581,synthetic_test_001,0.8192319205190405,0.00014363687197230552,0.00035434364139234035,0.8449461655330127,synthetic_test,5,1
0.009615384615384581,28,0.009615384615384581,synthetic_test_001,0.8193464903987027,0.00014828181127287781,0.00036060656697405654,0.8459639188976544,synthetic_test,6,1
0.009615384615384581,29,0.009615384615384581,synthetic_test_001,0.8192319205190405,0.00014363687197230547,0.00035434364139234035,0.8449461655330127,synthetic_test,7,1
0.009615384615384581,30,0.009615384615384581,synthetic_test_001,0.7302967433402215,0.00013977444222616824,0.00034841992362293615,0.7587132241219765,synthetic_test,8,1
0.009615384615384581,28,0.009615384615384581,synthetic_test_001,0.8798826901281199,0.00013356094135632561,0.00032834676783810856,0.908320450345391,synthetic_test,9,1
0.009615384615384581,29,0.009615384615384581,synthetic_test_001,0.8137884587711595,0.0001318266634559473,0.0003266252231318185,0.8443228189593929,synthetic_test,10,1
0.028846153846153744,31,0.028846153846153744,synthetic_test_001,0.8591246929842246,0.00016864299073621457,0.00036882030269855254,0.8930543165283613,synthetic_test,11,1
0.009615384615384692,27,0.009615384615384692,synthetic_test_001,0.6289709020331511,0.0001188852079390436,0.0003162517795732182,0.6542211277663326,synthetic_test,12,1
0.009615384615384692,28,0.009615384615384692,synthetic_test_001,0.8798826901281199,0.0001502640577963639,0.0003421165233420499,0.908320450345391,synthetic_test,13,1
0.03846153846153855,29,0.03846153846153855,synthetic_test_001,0.8469895538599199,0.0003915146194868756,0.001137245949160953,0.882414171506497,synthetic_test,14,1
0.009615384615384581,26,0.009615384615384581,synthetic_test_001,0.9858148842026544,0.00012129868533468617,0.0003221781731416612,0.998331942124796,synthetic_test,15,1
