gcc_ratio,graph_id,graph_type,method,remove_ratio,removed_edges,split
0.4,football,real,Expanded oracle top-5 h1,0.19575856443719414,120,real_external_test
0.4,football,real,Expanded oracle top-5 h1,0.19738988580750408,121,real_external_test
0.4,football,real,Expanded oracle top-5 h1,0.19902120717781402,122,real_external_test
0.4,football,real,Expanded oracle top-5 h1,0.200652528548124,123,real_external_test
0.4,football,real,Expanded oracle top-5 h1,0.20228384991843393,124,real_external_test
0.4,football,real,Expanded oracle top-5 h1,0.2039151712887439,125,real_external_test
0.4,football,real,Expanded oracle top-5 h1,0.20554649265905384,126,real_external_test
0.4,football,real,Expanded oracle top-5 h1,0.20717781402936378,127,real_external_test
0.4,football,real,Expanded oracle top-5 h1,0.20880913539967375,128,real_external_test
0.4,football,real,Expanded oracle top-5 h1,0.21044045676998369,129,real_external_test
0.4,football,real,Expanded oracle top-5 h1,0.21207177814029363,130,real_external_test
0.4,football,real,Expanded oracle top-5 h1,0.2137030995106036,131,real_external_test
0.4,football,real,Expanded oracle top-5 h1,0.21533442088091354,132,real_external_test
0.4,football,real,Expanded oracle top-5 h1,0.2169657422512235,133,real_external_test
0.4,football,real,Expanded oracle top-5 h1,0.21859706362153344,134,real_external_test
0.30434782608695654,football,real,Expanded oracle top-5 h1,0.22022838499184338,135,real_external_test
0.30434782608695654,football,real,Expanded oracle top-5 h1,0.22185970636215335,136,real_external_test
0.30434782608695654,football,real,Expanded oracle top-5 h1,0.2234910277324633,137,real_external_test
0.30434782608695654,football,real,Expanded oracle top-5 h1,0.22512234910277323,138,real_external_test
0.30434782608695654,football,real,Expanded oracle top-5 h1,0.2267536704730832,139,real_external_test
0.2956521739130435,football,real,Expanded oracle top-5 h1,0.22838499184339314,140,real_external_test
0.2956521739130435,football,real,Expanded oracle top-5 h1,0.2300163132137031,141,real_external_test
0.2956521739130435,football,real,Expanded oracle top-5 h1,0.23164763458401305,142,real_external_test
0.2956521739130435,football,real,Expanded oracle top-5 h1,0.233278955954323,143,real_external_test
0.2956521739130435,football,real,Expanded oracle top-5 h1,0.23491027732463296,144,real_external_test
0.2956521739130435,football,real,Expanded oracle top-5 h1,0.2365415986949429,145,real_external_test
