gcc_after,gcc_before,gcc_delta,graph_id,graph_type,method,num_unique_candidates,remove_ratio,rollout_depth,rollout_edges,selected_source_method,selected_source_rank,split,step,u,v
0.9846938775510204,0.9846938775510204,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,20,0.039925719591457756,1,22-177,M5 dynamic edge betweenness,1,synthetic_test,43,22,177
0.9846938775510204,0.9846938775510204,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,19,0.04085422469823584,1,12-177,M5 dynamic edge betweenness,1,synthetic_test,44,12,177
0.9846938775510204,0.9846938775510204,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,21,0.04178272980501393,1,169-177,M5 dynamic edge betweenness,1,synthetic_test,45,169,177
0.9846938775510204,0.9846938775510204,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,22,0.04271123491179202,1,182-193,M5 dynamic edge betweenness,1,synthetic_test,46,182,193
0.9846938775510204,0.9846938775510204,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,20,0.0436397400185701,1,168-181,M5 dynamic edge betweenness,1,synthetic_test,47,168,181
0.9846938775510204,0.9846938775510204,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,21,0.04456824512534819,1,172-194,M5 dynamic edge betweenness,1,synthetic_test,48,172,194
0.9846938775510204,0.9846938775510204,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,19,0.04549675023212628,1,172-187,M5 dynamic edge betweenness,1,synthetic_test,49,172,187
0.9846938775510204,0.9846938775510204,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,22,0.04642525533890436,1,160-172,M5 dynamic edge betweenness,1,synthetic_test,50,160,172
0.9846938775510204,0.9846938775510204,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,21,0.04735376044568245,1,172-174,M5 dynamic edge betweenness,1,synthetic_test,51,172,174
0.9846938775510204,0.9846938775510204,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,20,0.04828226555246054,1,171-177,M5 dynamic edge betweenness,1,synthetic_test,52,171,177
0.9846938775510204,0.9846938775510204,0.0,synthetic_test_000,sbm,Expanded oracle top-5 h1,20,0.04921077065923862,1,166-177,M5 dynamic edge betweenness,1,synthetic_test,53,166,177
