dataset_group,graph_id,method,normalized_auc,ranking_checkpoint_count,runtime_seconds,seed,source_budget,source_step_count,status
synthetic45,synthetic_test_043,SASB-N-degree-source,0.25866858237547896,5,1.791449,20260513,64,145,finished
synthetic45,synthetic_test_043,SASB-N-degree-source,0.25866858237547896,5,1.8797901000000081,20260514,64,145,finished
synthetic45,synthetic_test_043,SASB-N-degree-source,0.25866858237547896,5,1.879909600000019,20260515,64,145,finished
synthetic45,synthetic_test_043,SASB-N-degree-source,0.25866858237547896,5,1.9645178999999757,20260516,64,145,finished
synthetic45,synthetic_test_043,SASB-N-degree-source,0.25866858237547896,5,1.8690861999999981,20260517,64,145,finished
synthetic45,synthetic_test_043,SASB-N-frozen-source,0.24267241379310345,5,1.512124,20260513,64,145,finished
synthetic45,synthetic_test_043,SASB-N-frozen-source,0.24286398467432949,5,1.7458541000000025,20260514,64,145,finished
synthetic45,synthetic_test_043,SASB-N-frozen-source,0.24942528735632183,5,1.5358956999999975,20260515,64,145,finished
synthetic45,synthetic_test_043,SASB-N-frozen-source,0.24166666666666667,5,1.4943053999999734,20260516,64,145,finished
synthetic45,synthetic_test_043,SASB-N-frozen-source,0.24248084291187738,5,1.5379094999999836,20260517,64,145,finished
synthetic45,synthetic_test_013,SASB-N-structured,0.12263535551206785,5,0.7417803000000163,20260513,64,147,finished
synthetic45,synthetic_test_013,SASB-N-structured,0.12263535551206785,5,0.7468706999999881,20260514,64,147,finished
synthetic45,synthetic_test_013,SASB-N-structured,0.12216941571149006,5,0.7250760000000014,20260515,64,147,finished
synthetic45,synthetic_test_013,SASB-N-structured,0.12263535551206785,5,0.7577654000000109,20260516,64,147,finished
synthetic45,synthetic_test_013,SASB-N-structured,0.12263535551206785,5,0.7571468000000152,20260517,64,147,finished
synthetic45,synthetic_test_013,SASB-N-random-source,0.13395769266610752,5,0.9636559999999861,20260513,64,147,finished
synthetic45,synthetic_test_013,SASB-N-random-source,0.1269220016773833,5,0.8510148999999956,20260514,64,147,finished
synthetic45,synthetic_test_013,SASB-N-random-source,0.12654924983692106,5,0.922683400000011,20260515,64,147,finished
synthetic45,synthetic_test_013,SASB-N-random-source,0.12263535551206785,5,0.8268912000000057,20260516,64,147,finished
synthetic45,synthetic_test_013,SASB-N-random-source,0.12263535551206785,5,0.7485181999999782,20260517,64,147,finished
synthetic45,synthetic_test_013,SASB-N-degree-source,0.13018358028142762,5,0.8151563000000124,20260513,64,147,finished
synthetic45,synthetic_test_013,SASB-N-degree-source,0.13018358028142762,5,0.7933304000000021,20260514,64,147,finished
synthetic45,synthetic_test_013,SASB-N-degree-source,0.13018358028142762,5,0.8585554000000002,20260515,64,147,finished
synthetic45,synthetic_test_013,SASB-N-degree-source,0.13018358028142762,5,0.9554736999999989,20260516,64,147,finished
synthetic45,synthetic_test_013,SASB-N-degree-source,0.13018358028142762,5,0.8446313000000032,20260517,64,147,finished
synthetic45,synthetic_test_013,SASB-N-frozen-source,0.1219364458112012,5,0.7716143999999758,20260513,64,147,finished
synthetic45,synthetic_test_013,SASB-N-frozen-source,0.12305470133258782,5,0.6916115999999874,20260514,64,147,finished
synthetic45,synthetic_test_013,SASB-N-frozen-source,0.12338085919299226,5,0.9152528999999845,20260515,64,147,finished
synthetic45,synthetic_test_013,SASB-N-frozen-source,0.12347404715310781,5,0.7289775000000134,20260516,64,147,finished
synthetic45,synthetic_test_013,SASB-N-frozen-source,0.12310129531264559,5,0.6602106999999933,20260517,64,147,finished
synthetic45,synthetic_test_022,SASB-N-structured,0.37251243781094523,5,7.04222390000001,20260513,64,201,finished
synthetic45,synthetic_test_022,SASB-N-structured,0.37310945273631835,5,6.3029607,20260514,64,201,finished
synthetic45,synthetic_test_022,SASB-N-structured,0.3773880597014926,5,6.526476000000002,20260515,64,201,finished
synthetic45,synthetic_test_022,SASB-N-structured,0.37191542288557217,5,6.304155999999978,20260516,64,201,finished
synthetic45,synthetic_test_022,SASB-N-structured,0.3703980099502488,5,6.321030300000018,20260517,64,201,finished
synthetic45,synthetic_test_022,SASB-N-random-source,0.36417910447761187,5,6.23438010000001,20260513,64,201,finished
synthetic45,synthetic_test_022,SASB-N-random-source,0.3676616915422886,5,6.117035999999985,20260514,64,201,finished
synthetic45,synthetic_test_022,SASB-N-random-source,0.36241293532338315,5,6.029242499999981,20260515,64,201,finished
synthetic45,synthetic_test_022,SASB-N-random-source,0.36104477611940294,5,6.80341390000001,20260516,64,201,finished
synthetic45,synthetic_test_022,SASB-N-random-source,0.36609452736318404,5,7.312934799999994,20260517,64,201,finished
synthetic45,synthetic_test_022,SASB-N-degree-source,0.3770149253731343,5,7.994526500000006,20260513,64,201,finished
synthetic45,synthetic_test_022,SASB-N-degree-source,0.3770149253731343,5,6.916282600000017,20260514,64,201,finished
synthetic45,synthetic_test_022,SASB-N-degree-source,0.3770149253731343,5,6.590350399999977,20260515,64,201,finished
synthetic45,synthetic_test_022,SASB-N-degree-source,0.3770149253731343,5,11.242230800000016,20260516,64,201,finished
synthetic45,synthetic_test_022,SASB-N-degree-source,0.3770149253731343,5,7.051379099999963,20260517,64,201,finished
synthetic45,synthetic_test_022,SASB-N-frozen-source,0.37778606965174133,5,5.873018699999989,20260513,64,201,finished
synthetic45,synthetic_test_022,SASB-N-frozen-source,0.3795024875621891,5,5.830556399999978,20260514,64,201,finished
synthetic45,synthetic_test_022,SASB-N-frozen-source,0.37579601990049744,5,5.565805899999987,20260515,64,201,finished
synthetic45,synthetic_test_022,SASB-N-frozen-source,0.3782587064676617,5,5.850524199999995,20260516,64,201,finished
synthetic45,synthetic_test_022,SASB-N-frozen-source,0.3846019900497512,5,5.693870300000015,20260517,64,201,finished
synthetic45,synthetic_test_024,SASB-N-structured,0.3674865291713118,5,6.539536100000021,20260513,64,208,finished
synthetic45,synthetic_test_024,SASB-N-structured,0.3647691378669639,5,7.430807700000003,20260514,64,208,finished
synthetic45,synthetic_test_024,SASB-N-structured,0.36402591973244147,5,6.384597299999996,20260515,64,208,finished
synthetic45,synthetic_test_024,SASB-N-structured,0.3617962653288741,5,7.156004799999948,20260516,64,208,finished
synthetic45,synthetic_test_024,SASB-N-structured,0.37131874767744333,5,6.668332700000008,20260517,64,208,finished
synthetic45,synthetic_test_024,SASB-N-random-source,0.35636148272017837,5,6.8766112000000135,20260513,64,208,finished
synthetic45,synthetic_test_024,SASB-N-random-source,0.3534350613154961,5,6.923892799999976,20260514,64,208,finished
