active_source_count,actual_remove_ratio,checkpoint_step,checkpoint_target_ratio,current_gcc_node_count,dataset_group,exact_m5_score_at_removed,exact_m5_score_mean,graph_id,graph_name,kendall_rank_correlation,method,pearson_score_correlation,precision_at_10pct,precision_at_1pct,precision_at_5pct,recall_at_10pct,recall_at_1pct,recall_at_5pct,removed_node,removed_node_m5_rank,removed_node_m5_rank_percentile,removed_node_m5_top_10pct,removed_node_m5_top_1pct,removed_node_m5_top_5pct,sampled_score_at_removed,sampled_score_mean,seed,source_budget,source_set_hash,spearman_rank_correlation,top_10pct_overlap,top_1pct_overlap,top_5pct_overlap
64,0.2,21,0.2,81,synthetic45,622.8095238095239,149.1728395061728,synthetic_test_034,synthetic_test_034,0.9435687732452859,SASB-N-random-source,0.9928397204063184,1.0,1.0,1.0,1.0,1.0,1.0,86,1,0.0,True,True,True,1030.069047619048,232.90123456790118,20260514,64,2cb4721e8df30a49,0.9917810393234512,1.0,1.0,1.0
23,0.29523809523809524,31,0.3,23,synthetic45,103.5,30.347826086956523,synthetic_test_034,synthetic_test_034,1.0,SASB-N-random-source,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,1,0.0,True,True,True,207.0,60.69565217391305,20260514,64,8df738904652805c,1.0,1.0,1.0,1.0
2,0.4952380952380953,52,0.5,2,synthetic45,0.0,0.0,synthetic_test_034,synthetic_test_034,0.0,SASB-N-random-source,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13,1,0.0,True,True,True,0.0,0.0,20260514,64,8bf3ad812a85dedc,0.0,1.0,1.0,1.0
64,0.0,0,0.0,105,synthetic45,1067.8261801078745,72.45714285714288,synthetic_test_034,synthetic_test_034,0.8772893772893773,SASB-N-random-source,0.992699655279844,1.0,0.5,1.0,1.0,0.5,1.0,0,1,0.0,True,True,True,1297.6462978503191,88.17142857142859,20260515,64,a5a8cbfc56a5d69c,0.9757516068836825,1.0,0.5,1.0
64,0.10476190476190476,11,0.1,93,synthetic45,454.95073853734857,104.93548387096779,synthetic_test_034,synthetic_test_034,0.9099225897255454,SASB-N-random-source,0.9841022943061416,0.9,0.0,0.8,0.9,0.0,0.8,14,2,0.010869565217391304,True,False,True,714.4816262555815,142.59139784946242,20260515,64,cfc783208e7e1ff4,0.9850607048780304,0.9,0.0,0.8
64,0.2,21,0.2,79,synthetic45,497.08333333333366,141.59493670886073,synthetic_test_034,synthetic_test_034,0.9612352168199736,SASB-N-random-source,0.9958341575803268,0.875,1.0,0.75,0.875,1.0,0.75,11,1,0.0,True,True,True,784.4428571428575,230.3924050632912,20260515,64,c1bc8a587ce6e79d,0.9966601250624704,0.875,1.0,0.75
29,0.29523809523809524,31,0.3,29,synthetic45,214.0,56.620689655172406,synthetic_test_034,synthetic_test_034,1.0,SASB-N-random-source,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41,1,0.0,True,True,True,428.0,113.24137931034485,20260515,64,f8660090057d2834,0.9999999999999998,1.0,1.0,1.0
2,0.4952380952380953,52,0.5,2,synthetic45,0.0,0.0,synthetic_test_034,synthetic_test_034,0.0,SASB-N-random-source,0.0,1.0,1.0,1.0,1.0,1.0,1.0,44,1,0.0,True,True,True,0.0,0.0,20260515,64,35fdc14b173a4b38,0.0,1.0,1.0,1.0
64,0.0,0,0.0,105,synthetic45,1067.8261801078745,72.45714285714288,synthetic_test_034,synthetic_test_034,0.8747252747252746,SASB-N-random-source,0.9975982866857366,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0.0,True,True,True,1245.0520303017727,86.67619047619051,20260516,64,fcff4bae92f6a8b5,0.9756375699771924,1.0,1.0,1.0
64,0.10476190476190476,11,0.1,93,synthetic45,501.2970075246391,104.93548387096779,synthetic_test_034,synthetic_test_034,0.8728594886230354,SASB-N-random-source,0.975907743025905,0.9,1.0,0.8,0.9,1.0,0.8,10,1,0.0,True,True,True,738.1110424663059,142.82795698924738,20260516,64,d6979e5776859bbc,0.9714646031236708,0.9,1.0,0.8
