dataset_group,graph_id,initial_source_jaccard,left_label,left_method,left_source_count,right_label,right_method,right_source_count,seed
realworld_completed,bio_grid_plant,0.21904761904761905,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260513
realworld_completed,bio_grid_plant,0.024,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260514
realworld_completed,bio_grid_plant,0.24271844660194175,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260514
realworld_completed,bio_grid_plant,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260514
realworld_completed,bio_grid_plant,0.024,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260514
realworld_completed,bio_grid_plant,0.024,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260514
realworld_completed,bio_grid_plant,0.24271844660194175,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260514
realworld_completed,bio_grid_plant,0.024,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260515
realworld_completed,bio_grid_plant,0.20754716981132076,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260515
realworld_completed,bio_grid_plant,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,bio_grid_plant,0.007874015748031496,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260515
realworld_completed,bio_grid_plant,0.024,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,bio_grid_plant,0.20754716981132076,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260515
realworld_completed,bio_grid_plant,0.03225806451612903,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260516
realworld_completed,bio_grid_plant,0.21904761904761905,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260516
realworld_completed,bio_grid_plant,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260516
realworld_completed,bio_grid_plant,0.03225806451612903,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260516
realworld_completed,bio_grid_plant,0.03225806451612903,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260516
realworld_completed,bio_grid_plant,0.21904761904761905,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260516
realworld_completed,bio_grid_plant,0.03225806451612903,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260517
realworld_completed,bio_grid_plant,0.20754716981132076,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260517
realworld_completed,bio_grid_plant,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260517
realworld_completed,bio_grid_plant,0.015873015873015872,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260517
realworld_completed,bio_grid_plant,0.03225806451612903,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260517
realworld_completed,bio_grid_plant,0.20754716981132076,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260517
realworld_completed,bio_grid_worm,0.007874015748031496,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260513
realworld_completed,bio_grid_worm,0.6410256410256411,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260513
realworld_completed,bio_grid_worm,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260513
realworld_completed,bio_grid_worm,0.007874015748031496,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260513
realworld_completed,bio_grid_worm,0.007874015748031496,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260513
realworld_completed,bio_grid_worm,0.6410256410256411,degree-source,SASB-N-degree-source,64,frozen-source,SASB-N-frozen-source,64,20260513
realworld_completed,bio_grid_worm,0.0,structured,SASB-N-structured,64,random-source,SASB-N-random-source,64,20260514
realworld_completed,bio_grid_worm,0.7066666666666667,structured,SASB-N-structured,64,degree-source,SASB-N-degree-source,64,20260514
realworld_completed,bio_grid_worm,1.0,structured,SASB-N-structured,64,frozen-source,SASB-N-frozen-source,64,20260514
realworld_completed,bio_grid_worm,0.007874015748031496,random-source,SASB-N-random-source,64,degree-source,SASB-N-degree-source,64,20260514
realworld_completed,bio_grid_worm,0.0,random-source,SASB-N-random-source,64,frozen-source,SASB-N-frozen-source,64,20260514
