dataset,graph_id,method,source_policy,seed,status,normalized_auc,gcc_at_5pct,gcc_at_10pct,gcc_at_20pct,gcc_at_40pct,first_positive_drop_step,positive_delta_gcc_rate,conditional_mean_delta_gcc,inter_community_ratio,mean_edge_embeddedness,mean_common_neighbors,true_source_traversal_count,runtime_seconds,candidate_generation_seconds,sampled_path_scoring_seconds,model_scoring_seconds,louvain_recomputes,candidate_set_backend,candidate_set_config,candidate_set_config_equal_to_structured,candidate_set_hashes_recorded,observed_remove_ratio,removed_edges,max_steps
synthetic45,synthetic_test_003,SASB-matched,matched,20260513,finished,0.7949189004751958,1.0,1.0,1.0,1.0,749,0.06945681211041853,0.012760603882099207,0.5431878895814782,0.06785446422579101,0.21104185218165628,31019,40.225863100000424,5.741851400292944,8.814022000384284,0.19331399956718087,246,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,1123,1.0,1123,1123
synthetic45,synthetic_test_004,SASB-structured,structured,20260513,finished,0.49215214932126694,1.0,1.0,1.0,0.7692307692307693,73,0.19607843137254902,0.024759615384615387,0.3627450980392157,0.03759144083632574,0.10784313725490197,4322,1.3192228999978397,0.13717880033073016,0.35361920020659454,0.008963399974163622,94,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,204,1.0,204,204
synthetic45,synthetic_test_004,SASB-random,random,20260513,finished,0.49969362745098034,1.0,1.0,1.0,0.8173076923076923,69,0.2107843137254902,0.02303220035778175,0.35294117647058826,0.034126645827413093,0.10784313725490197,4458,1.3608627999783494,0.14169370007584803,0.3605894999636803,0.009248899761587381,91,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,204,1.0,204,204
synthetic45,synthetic_test_004,SASB-matched,matched,20260513,finished,0.49978789592760176,1.0,1.0,1.0,0.7403846153846154,67,0.19607843137254902,0.024759615384615387,0.30392156862745096,0.032076734953972806,0.10784313725490197,4394,1.5156316000211518,0.14234030016814359,0.3590830000175629,0.00952430025790818,94,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,204,1.0,204,204
synthetic45,synthetic_test_005,SASB-structured,structured,20260513,finished,0.7143162933701764,1.0,1.0,1.0,1.0,455,0.10039113428943937,0.012922400982102473,0.38461538461538464,0.07425865095356621,0.19556714471968709,19859,17.27209790001507,2.2118931995355524,4.523514999920735,0.09726750006666407,197,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,767,1.0,767,767
synthetic45,synthetic_test_005,SASB-random,random,20260513,finished,0.7164438563376079,1.0,1.0,1.0,1.0,462,0.10691003911342895,0.012134449702705982,0.35723598435462844,0.07483857949959645,0.19556714471968709,20073,17.41725050000241,2.202453399717342,4.633013599464903,0.09801339995465241,193,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,767,1.0,767,767
synthetic45,synthetic_test_005,SASB-matched,matched,20260513,finished,0.7061498245409199,1.0,1.0,1.0,1.0,447,0.10299869621903521,0.012595251590150512,0.36114732724902215,0.07315203628762951,0.19556714471968709,19968,19.0634115000139,2.247849699953804,4.53668870034744,0.10068939969642088,194,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,767,1.0,767,767
synthetic45,synthetic_test_006,SASB-structured,structured,20260513,finished,0.19612108444770107,0.8301886792452831,0.6320754716981132,0.27358490566037735,0.1320754716981132,5,0.1262135922330097,0.038098693759071114,0.35436893203883496,0.1081715210355987,0.16019417475728157,2784,0.6682029000076,0.0615302998048719,0.13351540014264174,0.005253199895378202,102,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,206,1.0,206,206
synthetic45,synthetic_test_006,SASB-random,random,20260513,finished,0.1816953654515479,0.8301886792452831,0.6415094339622641,0.2641509433962264,0.1320754716981132,6,0.12135922330097088,0.03962264150943396,0.35436893203883496,0.10849514563106795,0.16019417475728157,2694,0.6420054000045639,0.058738899999298155,0.12256919979699887,0.005005899758543819,103,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,206,1.0,206,206
synthetic45,synthetic_test_006,SASB-matched,matched,20260513,finished,0.19483879831470965,0.8301886792452831,0.6320754716981132,0.27358490566037735,0.1320754716981132,5,0.13106796116504854,0.03668763102725367,0.3446601941747573,0.10736245954692557,0.16019417475728157,2803,0.725425799988443,0.06313090038020164,0.13502479996532202,0.005193999822949991,102,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,206,1.0,206,206
synthetic45,synthetic_test_007,SASB-structured,structured,20260513,finished,0.7797914929965936,1.0,1.0,1.0,1.0,377,0.12254160363086233,0.01226169480137734,0.49016641452344933,0.06664469877961024,0.19062027231467474,18463,12.650583399983589,1.888228600495495,3.268716599937761,0.07623029977548867,135,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,661,1.0,661,661
synthetic45,synthetic_test_007,SASB-random,random,20260513,finished,0.7556783681702637,1.0,1.0,1.0,1.0,360,0.11195158850226929,0.013421584850156279,0.5113464447806354,0.06837463679369882,0.19062027231467474,18264,12.27995369999553,1.8604147007572465,3.1874441001855303,0.07670209955540486,143,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,661,1.0,661,661
synthetic45,synthetic_test_007,SASB-matched,matched,20260513,finished,0.7614930995090927,1.0,1.0,1.0,1.0,410,0.11346444780635401,0.013242630385487529,0.4886535552193646,0.06822548897613416,0.19062027231467474,18296,13.913457599992398,1.8828540997637901,3.285360500594834,0.08062409982085228,142,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,661,1.0,661,661
synthetic45,synthetic_test_008,SASB-structured,structured,20260513,finished,0.5101936912008854,1.0,1.0,1.0,0.9856115107913669,110,0.13230769230769232,0.023088505939434498,0.3353846153846154,0.05959706959706959,0.11692307692307692,6953,3.233344100008253,0.3311388999281917,0.8224555000779219,0.01967560002231039,135,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,325,1.0,325,325
synthetic45,synthetic_test_008,SASB-random,random,20260513,finished,0.504770337576093,1.0,1.0,1.0,0.9856115107913669,121,0.13538461538461538,0.022563767168083712,0.3230769230769231,0.062102564102564095,0.11692307692307692,6863,3.2661782999930438,0.32584600016707554,0.814516200509388,0.018164100067224354,135,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,325,1.0,325,325
synthetic45,synthetic_test_008,SASB-matched,matched,20260513,finished,0.5132706142778085,1.0,1.0,1.0,0.8776978417266187,121,0.12923076923076923,0.023638232271325797,0.3230769230769231,0.058974358974358966,0.11692307692307692,6869,3.6105947000032756,0.3314777004707139,0.8199889999523293,0.01818809990072623,136,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,325,1.0,325,325
synthetic45,synthetic_test_009,SASB-structured,structured,20260513,finished,0.49153441745036575,1.0,1.0,1.0,0.8693181818181818,86,0.1781609195402299,0.016037390029325516,0.3620689655172414,0.023362168175742427,0.10632183908045977,7454,3.7656225000100676,0.3946543997444678,1.0303646999236662,0.02074700014782138,157,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,348,1.0,348,348
synthetic45,synthetic_test_009,SASB-random,random,20260513,finished,0.4914038009404389,1.0,1.0,1.0,0.8295454545454546,85,0.1781609195402299,0.016037390029325516,0.35919540229885055,0.03110551351250081,0.10632183908045977,7472,3.7719343999924604,0.39313619985478,1.0247000000672415,0.020648699573939666,155,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,348,1.0,348,348
synthetic45,synthetic_test_009,SASB-matched,matched,20260513,finished,0.5307846786833856,1.0,1.0,1.0,0.8920454545454546,120,0.1839080459770115,0.015536221590909092,0.34195402298850575,0.024394947656797773,0.10632183908045977,7632,4.544403000007151,0.4106240999826696,1.0961372006568126,0.02127679972909391,154,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,348,1.0,348,348
synthetic45,synthetic_test_010,SASB-structured,structured,20260513,finished,0.44519944341372913,1.0,1.0,1.0,0.45918367346938777,60,0.12272727272727273,0.03665910808767952,0.41818181818181815,0.06212121212121212,0.09545454545454546,4118,1.4187386999838054,0.15165899985004216,0.343119300348917,0.008167199994204566,99,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,220,1.0,220,220
synthetic45,synthetic_test_010,SASB-random,random,20260513,finished,0.38703617810760665,1.0,1.0,0.9489795918367347,0.32653061224489793,40,0.12727272727272726,0.035349854227405254,0.4818181818181818,0.06053030303030303,0.09545454545454546,4001,1.2597742000070866,0.13594950005062856,0.2961274001572747,0.008141700061969459,96,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,220,1.0,220,220
synthetic45,synthetic_test_010,SASB-matched,matched,20260513,finished,0.4030380333951763,1.0,1.0,0.9489795918367347,0.5204081632653061,30,0.12272727272727273,0.03665910808767952,0.41363636363636364,0.06249999999999999,0.09545454545454546,4095,1.4422457999899052,0.14246299996739253,0.3106569997034967,0.008395900105824694,97,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,220,1.0,220,220
synthetic45,synthetic_test_011,SASB-structured,structured,20260513,finished,0.7334140586189767,1.0,1.0,1.0,1.0,684,0.06466302367941712,0.01402048655569782,0.1621129326047359,0.14193160866658133,0.5346083788706739,28933,29.120048100012355,4.087984900252195,8.117544199747499,0.17774810010450892,248,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,1098,1.0,1098,1098
synthetic45,synthetic_test_011,SASB-random,random,20260513,finished,0.7359765689683723,1.0,1.0,1.0,1.0,670,0.07194899817850638,0.012600690448791713,0.1621129326047359,0.14315379014832566,0.5346083788706739,29200,29.056687500007683,4.063744299550308,8.11069589969702,0.17369860043982044,243,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,1098,1.0,1098,1098
synthetic45,synthetic_test_011,SASB-matched,matched,20260513,finished,0.7379553734061931,1.0,1.0,1.0,1.0,695,0.07103825136612021,0.012762237762237762,0.15482695810564662,0.13991932475539035,0.5346083788706739,29144,32.63827480000327,4.208300900354516,8.267123699595686,0.18250260045169853,243,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,1098,1.0,1098,1098
synthetic45,synthetic_test_012,SASB-structured,structured,20260513,finished,0.6576013899104673,1.0,1.0,1.0,1.0,188,0.18510158013544017,0.012126610030145245,0.345372460496614,0.02291733849295926,0.04740406320541761,11126,7.31344289999106,0.7712905006774236,1.879070999857504,0.038693500187946483,143,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,443,1.0,443,443
synthetic45,synthetic_test_012,SASB-random,random,20260513,finished,0.657106804981358,1.0,1.0,1.0,0.9662921348314607,165,0.18961625282167044,0.011837881219903692,0.33860045146726864,0.021014726432333656,0.04740406320541761,11186,7.308490099996561,0.7766508997592609,1.8855035003216472,0.03889899986097589,143,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,443,1.0,443,443
synthetic45,synthetic_test_012,SASB-matched,matched,20260513,finished,0.6510449691835545,1.0,1.0,1.0,1.0,218,0.18510158013544017,0.012126610030145245,0.32505643340857787,0.021783295711060944,0.04740406320541761,11091,8.141535000002477,0.7714776997745503,1.8541729997086804,0.03945540005224757,145,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,443,1.0,443,443
synthetic45,synthetic_test_013,SASB-structured,structured,20260513,finished,0.1802489703364339,1.0,0.8639455782312925,0.2108843537414966,0.047619047619047616,16,0.08163265306122448,0.041383219954648526,0.35034013605442177,0.24716553287981857,0.36394557823129253,3275,1.1924270000017714,0.1168613002228085,0.26757949983584695,0.007124199764803052,149,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,294,1.0,294,294
synthetic45,synthetic_test_013,SASB-random,random,20260513,finished,0.16858716275625896,1.0,0.8163265306122449,0.1836734693877551,0.047619047619047616,19,0.08503401360544217,0.03972789115646259,0.3469387755102041,0.24546485260770973,0.36394557823129253,3279,1.121207799995318,0.10927369998535141,0.24584770010551438,0.006770799838704988,148,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,294,1.0,294,294
synthetic45,synthetic_test_013,SASB-matched,matched,20260513,finished,0.18365033088065158,1.0,0.8639455782312925,0.23809523809523808,0.047619047619047616,19,0.08163265306122448,0.04138321995464853,0.30952380952380953,0.24971655328798184,0.36394557823129253,3349,1.3091569000098389,0.11585060000652447,0.26942199995392,0.007308999978704378,149,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,294,1.0,294,294
synthetic45,synthetic_test_014,SASB-structured,structured,20260513,finished,0.7703975340136054,1.0,1.0,1.0,1.0,600,0.058333333333333334,0.02028668610301263,0.3107142857142857,0.21547902494331067,0.9273809523809524,22377,16.246882100007497,2.6315798003342934,4.803709500207333,0.1136263994849287,206,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,840,1.0,840,840
synthetic45,synthetic_test_014,SASB-random,random,20260513,finished,0.7618516156462585,1.0,1.0,1.0,1.0,554,0.05476190476190476,0.02160973084886128,0.30714285714285716,0.21832105064247917,0.9273809523809524,22199,16.274503199994797,2.644903100008378,4.861410100071225,0.1143356999673415,209,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,840,1.0,840,840
synthetic45,synthetic_test_014,SASB-matched,matched,20260513,finished,0.7718998015873015,1.0,1.0,1.0,1.0,587,0.060714285714285714,0.01949112978524743,0.31785714285714284,0.21497071050642477,0.9273809523809524,22550,18.363380099995993,2.6541952000407036,4.86439679985051,0.11512500036042184,203,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,840,1.0,840,840
synthetic45,synthetic_test_015,SASB-structured,structured,20260513,finished,0.4955838727076591,1.0,1.0,0.8349514563106796,0.6504854368932039,28,0.1736111111111111,0.019805825242718445,0.3125,0.11886987433862434,0.25,6812,2.1589287999959197,0.25198959998670034,0.615279200108489,0.017063799721654505,86,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,288,1.0,288,288
synthetic45,synthetic_test_015,SASB-random,random,20260513,finished,0.48668419633225457,1.0,0.7961165048543689,0.7961165048543689,0.7961165048543689,19,0.1597222222222222,0.021528070915998312,0.2986111111111111,0.11193920855379187,0.25,6735,2.028591000009328,0.23776929965242743,0.5504971999907866,0.015949000138789415,89,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,288,1.0,288,288
synthetic45,synthetic_test_015,SASB-matched,matched,20260513,finished,0.4923139158576052,1.0,1.0,0.8155339805825242,0.6116504854368932,45,0.1597222222222222,0.02152807091599831,0.3090277777777778,0.11589368386243387,0.25,6720,2.3233666000014637,0.24302879971219227,0.5693905995867681,0.016955600236542523,93,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,288,1.0,288,288
synthetic45,synthetic_test_016,SASB-structured,structured,20260513,finished,0.15512310903943494,1.0,0.6684491978609626,0.17647058823529413,0.0374331550802139,28,0.0748663101604278,0.03552330022918258,0.3449197860962567,0.24331550802139038,0.36363636363636365,4196,1.6600811000098474,0.16104449977865443,0.37002709991065785,0.009712800121633336,190,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,374,1.0,374,374
synthetic45,synthetic_test_016,SASB-random,random,20260513,finished,0.14981841059223885,1.0,0.7433155080213903,0.13368983957219252,0.0374331550802139,21,0.07754010695187166,0.0342983588419694,0.3235294117647059,0.249777183600713,0.36363636363636365,4118,1.6557105000247248,0.2233995999849867,0.35661779998918064,0.009172700199997053,189,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,374,1.0,374,374
synthetic45,synthetic_test_016,SASB-matched,matched,20260513,finished,0.15519460093225432,1.0,0.6951871657754011,0.1657754010695187,0.0374331550802139,22,0.0748663101604278,0.03552330022918258,0.3342245989304813,0.2446524064171123,0.36363636363636365,4221,1.819482999999309,0.15981619988451712,0.37320629972964525,0.009655499743530527,190,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,374,1.0,374,374
synthetic45,synthetic_test_017,SASB-structured,structured,20260513,finished,0.7939958426606972,1.0,1.0,1.0,1.0,333,0.12452830188679245,0.015023112480739597,0.469811320754717,0.08054055483300766,0.24716981132075472,14951,7.998385599988978,1.2216213998908643,2.1483173003362026,0.05330740025965497,112,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,530,1.0,530,530
synthetic45,synthetic_test_017,SASB-random,random,20260513,finished,0.8023105212663896,1.0,1.0,1.0,1.0,339,0.12641509433962264,0.014798886921325576,0.48867924528301887,0.08346313539709765,0.24716981132075472,14994,8.11014800000703,1.2147730997530743,2.1722932002448943,0.054436700069345534,107,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,530,1.0,530,530
synthetic45,synthetic_test_017,SASB-matched,matched,20260513,finished,0.7970978573712824,1.0,1.0,1.0,1.0,329,0.12264150943396226,0.015254237288135594,0.4962264150943396,0.086260992676087,0.24716981132075472,14932,8.878494699980365,1.2083280002698302,2.1309580999368336,0.054453899851068854,110,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,530,1.0,530,530
synthetic45,synthetic_test_018,SASB-structured,structured,20260513,finished,0.7902289125637936,1.0,1.0,1.0,1.0,582,0.09250585480093677,0.01258505890100242,0.5210772833723654,0.05967958336225315,0.18618266978922718,23861,21.4939250999887,3.229512100457214,5.330449299828615,0.12285409987089224,178,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,854,1.0,854,854
synthetic45,synthetic_test_018,SASB-random,random,20260513,finished,0.7892745461683204,1.0,1.0,1.0,1.0,551,0.09250585480093677,0.012585058901002416,0.5281030444964872,0.06287515502972177,0.18618266978922718,23879,21.15356159998919,3.2133543000090867,5.348827000212623,0.1218468000588473,177,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,854,1.0,854,854
synthetic45,synthetic_test_018,SASB-matched,matched,20260513,finished,0.7915893923190427,1.0,1.0,1.0,1.0,576,0.09718969555035128,0.011978550038303505,0.5327868852459017,0.06399739019762439,0.18618266978922718,23928,23.717314799985616,3.251871999760624,5.320844500005478,0.1261150999343954,174,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,854,1.0,854,854
synthetic45,synthetic_test_019,SASB-structured,structured,20260513,finished,0.7797464539007093,1.0,1.0,1.0,1.0,794,0.09531914893617022,0.008891369047619046,0.5514893617021277,0.08072439164271528,0.4672340425531915,32911,39.943885399989085,6.006780000170693,9.747316399938427,0.19891109940363094,242,"theory.candidate_features(conservative, delta_mode=none)","{""delta_mode"": ""none"", ""k_max"": 512, ""k_min"": 64, ""variant"": ""conservative""}",1,1175,1.0,1175,1175
