dataset_group,graph_id,graph_name,graph_type,method,seed,source_budget,source_policy,status,auc,normalized_auc,observed_remove_ratio,final_gcc_ratio,runtime_seconds,current_gcc_node_count,active_source_count,effective_source_fraction,community_count,boundary_source_fraction,source_set_hash,source_set_scope,removed_nodes,remove_ratio_gcc_le_0.5,remove_ratio_gcc_le_0.2,remove_ratio_gcc_le_0.1,mean_effective_source_fraction,mean_boundary_source_fraction,mean_cross_community_source_fraction,mean_active_source_count,spearman_with_m5,top_1pct_m5_hit_rate,top_5pct_m5_hit_rate,top_10pct_m5_hit_rate
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-random-source,20260517,16,SASB-N-random-source,finished,0.1172337278106509,0.1172337278106509,1.0,0.0,0.148393900017254,104,16.0,0.1538461538461538,9.0,0.8125,f3c91d0695300fb0,dynamic_current_gcc,104,0.1153846153846153,0.1442307692307692,0.173076923076923,0.6918598096516335,0.0866251937165398,0.0866251937165398,11.278846153846152,0.9947828870158968,1.0,1.0,0.6363636363636364
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-random-source,20260513,32,SASB-N-random-source,finished,0.1151997041420118,0.1151997041420118,1.0,0.0,0.1674296000273898,104,32.0,0.3076923076923077,8.0,0.65625,87fe6e704e2ce81d,dynamic_current_gcc,104,0.1057692307692307,0.1346153846153846,0.1634615384615384,0.8647527687790473,0.0945522233071967,0.0945522233071967,18.432692307692307,0.9962445321668625,1.0,1.0,0.8181818181818182
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-random-source,20260514,32,SASB-N-random-source,finished,0.112241124260355,0.112241124260355,1.0,0.0,0.1659333000425249,104,32.0,0.3076923076923077,8.0,0.8125,5e11849a6860f9a8,dynamic_current_gcc,104,0.1057692307692307,0.1346153846153846,0.1634615384615384,0.8669112018637359,0.0947571488892775,0.0947571488892775,18.432692307692307,0.9963725594793558,1.0,1.0,0.8181818181818182
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-random-source,20260515,32,SASB-N-random-source,finished,0.1134430473372781,0.1134430473372781,1.0,0.0,0.1656574999797158,104,32.0,0.3076923076923077,8.0,0.78125,fdb49fe36bd49d62,dynamic_current_gcc,104,0.0961538461538461,0.1346153846153846,0.173076923076923,0.8662614004895869,0.0949174644347858,0.0949174644347858,18.423076923076923,0.9999786621145845,1.0,1.0,1.0
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-random-source,20260516,32,SASB-N-random-source,finished,0.1138128698224852,0.1138128698224852,1.0,0.0,0.1592453999910503,104,32.0,0.3076923076923077,8.0,0.6875,18e05b36e530830b,dynamic_current_gcc,104,0.1057692307692307,0.1346153846153846,0.173076923076923,0.8653852407192024,0.1007614726282489,0.1007614726282489,18.365384615384617,0.9941854262242613,1.0,1.0,0.9090909090909091
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-random-source,20260517,32,SASB-N-random-source,finished,0.112241124260355,0.112241124260355,1.0,0.0,0.1713120999629609,104,32.0,0.3076923076923077,9.0,0.75,70e6da571f4f7b38,dynamic_current_gcc,104,0.0961538461538461,0.1346153846153846,0.173076923076923,0.8668603679984576,0.097483496597869,0.097483496597869,18.39423076923077,0.9989224367865146,1.0,1.0,1.0
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-random-source,20260513,64,SASB-N-random-source,finished,0.1128883136094675,0.1128883136094675,1.0,0.0,0.2009776000049896,104,64.0,0.6153846153846154,8.0,0.703125,1935076f7da8ef9e,dynamic_current_gcc,104,0.0961538461538461,0.1346153846153846,0.173076923076923,0.9730315809549156,0.0951377647640741,0.0951377647640741,24.95192307692308,0.9999466552864612,1.0,1.0,1.0
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-random-source,20260514,64,SASB-N-random-source,finished,0.1145525147928994,0.1145525147928994,1.0,0.0,0.1916392999701202,104,64.0,0.6153846153846154,8.0,0.78125,73a118cdc027de0b,dynamic_current_gcc,104,0.1057692307692307,0.1346153846153846,0.173076923076923,0.9729892634737964,0.097299422919035,0.097299422919035,24.634615384615383,0.952981969486824,1.0,1.0,0.7272727272727273
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-random-source,20260515,64,SASB-N-random-source,finished,0.1127034023668639,0.1127034023668639,1.0,0.0,0.2437154999934137,104,64.0,0.6153846153846154,8.0,0.6875,2042046f5263fef6,dynamic_current_gcc,104,0.0961538461538461,0.1346153846153846,0.173076923076923,0.9731571696519328,0.0940958684178563,0.0940958684178563,24.95192307692308,1.0,1.0,1.0,1.0
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-random-source,20260516,64,SASB-N-random-source,finished,0.1124260355029586,0.1124260355029586,1.0,0.0,0.210411700012628,104,64.0,0.6153846153846154,8.0,0.6875,7676feea13050fce,dynamic_current_gcc,104,0.0961538461538461,0.1346153846153846,0.173076923076923,0.9733639521167796,0.0957049708340627,0.0957049708340627,24.95192307692308,0.9999893310572924,1.0,1.0,1.0
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-random-source,20260517,64,SASB-N-random-source,finished,0.1147374260355029,0.1147374260355029,1.0,0.0,0.1978095999802462,104,64.0,0.6153846153846154,9.0,0.703125,aa8631cefd23636a,dynamic_current_gcc,104,0.1057692307692307,0.1346153846153846,0.173076923076923,0.9728636747767792,0.0969419544177087,0.0969419544177087,24.634615384615383,0.9529392937159928,1.0,1.0,0.7272727272727273
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-structured,20260513,128,SASB-N-structured,finished,0.1127034023668639,0.1127034023668639,1.0,0.0,0.2415257999673485,104,104.0,1.0,8.0,0.6923076923076923,eca59c994741666e,dynamic_current_gcc,104,0.0961538461538461,0.1346153846153846,0.173076923076923,1.0,0.0946913312351722,0.0946913312351722,27.567307692307693,1.0,1.0,1.0,1.0
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-structured,20260514,128,SASB-N-structured,finished,0.1127034023668639,0.1127034023668639,1.0,0.0,0.2369446000084281,104,104.0,1.0,8.0,0.7019230769230769,eca59c994741666e,dynamic_current_gcc,104,0.0961538461538461,0.1346153846153846,0.173076923076923,1.0,0.0958421027421563,0.0958421027421563,27.567307692307693,1.0,1.0,1.0,1.0
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-structured,20260515,128,SASB-N-structured,finished,0.1127034023668639,0.1127034023668639,1.0,0.0,0.2460649000131525,104,104.0,1.0,8.0,0.7019230769230769,eca59c994741666e,dynamic_current_gcc,104,0.0961538461538461,0.1346153846153846,0.173076923076923,1.0,0.095007724174091,0.095007724174091,27.567307692307693,1.0,1.0,1.0,1.0
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-structured,20260516,128,SASB-N-structured,finished,0.1127034023668639,0.1127034023668639,1.0,0.0,0.2535627000033855,104,104.0,1.0,8.0,0.7019230769230769,eca59c994741666e,dynamic_current_gcc,104,0.0961538461538461,0.1346153846153846,0.173076923076923,1.0,0.095645464129216,0.095645464129216,27.567307692307693,1.0,1.0,1.0,1.0
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-structured,20260517,128,SASB-N-structured,finished,0.1127034023668639,0.1127034023668639,1.0,0.0,0.251217299955897,104,104.0,1.0,9.0,0.7115384615384616,eca59c994741666e,dynamic_current_gcc,104,0.0961538461538461,0.1346153846153846,0.173076923076923,1.0,0.0958829084094419,0.0958829084094419,27.567307692307693,1.0,1.0,1.0,1.0
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-structured,20260513,16,SASB-N-structured,finished,0.1185281065088757,0.1185281065088757,1.0,0.0,0.1559247000259347,104,16.0,0.1538461538461538,8.0,1.0,4006ab28598d57f4,dynamic_current_gcc,104,0.1153846153846153,0.1442307692307692,0.1826923076923076,0.6918735444355342,0.1718524664438126,0.1718524664438126,11.35576923076923,0.9914968526619012,1.0,1.0,0.6363636363636364
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-structured,20260514,16,SASB-N-structured,finished,0.1139977810650887,0.1139977810650887,1.0,0.0,0.2080223000375554,104,16.0,0.1538461538461538,8.0,1.0,471891af02e27f8a,dynamic_current_gcc,104,0.1057692307692307,0.1346153846153846,0.173076923076923,0.6957172878532938,0.1676498981787443,0.1676498981787443,11.25,0.9671503254027527,1.0,1.0,1.0
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-structured,20260515,16,SASB-N-structured,finished,0.1139977810650887,0.1139977810650887,1.0,0.0,0.1589138000272214,104,16.0,0.1538461538461538,8.0,1.0,28ef36967ee1b5cb,dynamic_current_gcc,104,0.1057692307692307,0.1346153846153846,0.173076923076923,0.6957172878532938,0.170654705871052,0.170654705871052,11.25,0.9671503254027527,1.0,1.0,1.0
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-structured,20260516,16,SASB-N-structured,finished,0.1169563609467456,0.1169563609467456,1.0,0.0,0.1708159999689087,104,16.0,0.1538461538461538,8.0,1.0,92cf37b7faeacb65,dynamic_current_gcc,104,0.1057692307692307,0.1346153846153846,0.173076923076923,0.6970345172708202,0.1725836663336663,0.1725836663336663,11.201923076923077,0.9940360610263523,1.0,1.0,0.9090909090909091
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-structured,20260517,16,SASB-N-structured,finished,0.1137204142011834,0.1137204142011834,1.0,0.0,0.1549978000111878,104,16.0,0.1538461538461538,9.0,1.0,63ac7d3a30df1fc5,dynamic_current_gcc,104,0.1153846153846153,0.1346153846153846,0.173076923076923,0.6967893182208157,0.1713744588744588,0.1713744588744588,11.221153846153848,0.9945908460471569,1.0,1.0,0.9090909090909091
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-structured,20260513,32,SASB-N-structured,finished,0.1166789940828402,0.1166789940828402,1.0,0.0,0.1866149000125005,104,32.0,0.3076923076923077,8.0,1.0,3394406c8c1c3707,dynamic_current_gcc,104,0.1057692307692307,0.1346153846153846,0.173076923076923,0.8636102019727239,0.1503407995513258,0.1503407995513258,18.365384615384617,0.9940147231409369,1.0,1.0,0.9090909090909091
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-structured,20260514,32,SASB-N-structured,finished,0.1156619822485207,0.1156619822485207,1.0,0.0,0.1770926999743096,104,32.0,0.3076923076923077,8.0,1.0,2bf82626e9fb161a,dynamic_current_gcc,104,0.1057692307692307,0.1346153846153846,0.173076923076923,0.8696115070036599,0.1460774677908298,0.1460774677908298,18.240384615384617,0.9531099967993173,1.0,1.0,0.7272727272727273
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-structured,20260515,32,SASB-N-structured,finished,0.1142751479289941,0.1142751479289941,1.0,0.0,0.1727804000256583,104,32.0,0.3076923076923077,8.0,1.0,f6e474416e4be735,dynamic_current_gcc,104,0.1057692307692307,0.1346153846153846,0.173076923076923,0.8703122942213011,0.1471343311860553,0.1471343311860553,18.240384615384617,0.9529606316014085,1.0,1.0,0.7272727272727273
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-structured,20260516,32,SASB-N-structured,finished,0.1156619822485207,0.1156619822485207,1.0,0.0,0.1840372000006027,104,32.0,0.3076923076923077,8.0,1.0,7801d479b27b82bf,dynamic_current_gcc,104,0.1057692307692307,0.1346153846153846,0.173076923076923,0.8696115070036599,0.1474348119552861,0.1474348119552861,18.240384615384617,0.9531099967993173,1.0,1.0,0.7272727272727273
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-structured,20260517,32,SASB-N-structured,finished,0.1166789940828402,0.1166789940828402,1.0,0.0,0.173831499996595,104,32.0,0.3076923076923077,9.0,1.0,5b67d8ebd9053f8d,dynamic_current_gcc,104,0.1057692307692307,0.1346153846153846,0.173076923076923,0.8636102019727239,0.1523010788553551,0.1523010788553551,18.365384615384617,0.994004054198229,1.0,1.0,0.9090909090909091
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-structured,20260513,64,SASB-N-structured,finished,0.1145525147928994,0.1145525147928994,1.0,0.0,0.2126238999771885,104,64.0,0.6153846153846154,8.0,1.0,43bd2a745c561f65,dynamic_current_gcc,104,0.1057692307692307,0.1346153846153846,0.173076923076923,0.9729892634737964,0.1136808055450297,0.1136808055450297,24.634615384615383,0.952981969486824,1.0,1.0,0.7272727272727273
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-structured,20260514,64,SASB-N-structured,finished,0.1145525147928994,0.1145525147928994,1.0,0.0,0.205081499996595,104,64.0,0.6153846153846154,8.0,1.0,ca757bc5a29244e7,dynamic_current_gcc,104,0.1057692307692307,0.1346153846153846,0.173076923076923,0.9729892634737964,0.1135253844574965,0.1135253844574965,24.634615384615383,0.9529713005441162,1.0,1.0,0.7272727272727273
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-structured,20260515,64,SASB-N-structured,finished,0.1145525147928994,0.1145525147928994,1.0,0.0,0.2189711999963037,104,64.0,0.6153846153846154,8.0,1.0,b365823f8844da57,dynamic_current_gcc,104,0.1057692307692307,0.1346153846153846,0.173076923076923,0.9729892634737964,0.114992904904004,0.114992904904004,24.634615384615383,0.952981969486824,1.0,1.0,0.7272727272727273
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-structured,20260516,64,SASB-N-structured,finished,0.1145525147928994,0.1145525147928994,1.0,0.0,0.2203008999931626,104,64.0,0.6153846153846154,8.0,1.0,90e73875495494a8,dynamic_current_gcc,104,0.1057692307692307,0.1346153846153846,0.173076923076923,0.9729892634737964,0.1143685726390467,0.1143685726390467,24.634615384615383,0.952981969486824,1.0,1.0,0.7272727272727273
synthetic45,synthetic_test_004,synthetic_test_004,ba,SASB-N-structured,20260517,64,SASB-N-structured,finished,0.1145525147928994,0.1145525147928994,1.0,0.0,0.2272529999609105,104,64.0,0.6153846153846154,9.0,1.0,89e2025a8bc52cae,dynamic_current_gcc,104,0.1057692307692307,0.1346153846153846,0.173076923076923,0.9729892634737964,0.1152712813407856,0.1152712813407856,24.634615384615383,0.952981969486824,1.0,1.0,0.7272727272727273
synthetic45,synthetic_test_005,synthetic_test_005,sbm,dynamic-closeness,20260513,16,none,finished,0.3364891958119848,0.3364891958119848,1.0,0.0,1.1692564000259154,201,,,,,,none,201,0.4029850746268656,0.4278606965174129,0.4378109452736318,,,,,0.7499054233781587,0.6666666666666666,0.6363636363636364,0.7142857142857143
synthetic45,synthetic_test_005,synthetic_test_005,sbm,dynamic-degree,20260513,16,none,finished,0.3439147545852825,0.3439147545852825,1.0,0.0,0.2903885000268928,201,,,,,,none,201,0.3880597014925373,0.4577114427860697,0.4776119402985074,,,,,0.781810255652431,0.3333333333333333,0.8181818181818182,0.9047619047619048
synthetic45,synthetic_test_005,synthetic_test_005,sbm,dynamic-k-core,20260513,16,none,finished,0.3445087992871463,0.3445087992871463,1.0,0.0,0.2413049999740906,201,,,,,,none,201,0.3880597014925373,0.4626865671641791,0.4776119402985074,,,,,0.7820570415250481,0.3333333333333333,0.8181818181818182,0.9047619047619048
synthetic45,synthetic_test_005,synthetic_test_005,sbm,M5,20260513,16,none,finished,0.3157471349719066,0.3157471349719066,1.0,0.0,3.931578799965792,201,,,,,,none,201,0.3681592039800995,0.417910447761194,0.4278606965174129,,,,,1.0,1.0,1.0,1.0
synthetic45,synthetic_test_005,synthetic_test_005,sbm,random,20260513,16,none,finished,0.4638870324991955,0.4638870324991955,1.0,0.0,0.297083500016015,201,,,,,,none,201,0.5024875621890548,0.7263681592039801,0.7611940298507462,,,,,0.0713506723806709,0.0,0.0,0.14285714285714285
synthetic45,synthetic_test_005,synthetic_test_005,sbm,random,20260514,16,none,finished,0.4643078141630157,0.4643078141630157,1.0,0.0,0.2871830000076443,201,,,,,,none,201,0.4975124378109453,0.7164179104477612,0.7562189054726368,,,,,-0.0007152357026747452,0.0,0.09090909090909091,0.047619047619047616
synthetic45,synthetic_test_005,synthetic_test_005,sbm,random,20260515,16,none,finished,0.4543575654067968,0.4543575654067968,1.0,0.0,0.3395748999901116,201,,,,,,none,201,0.4875621890547263,0.6865671641791045,0.736318407960199,,,,,0.09162405792818089,0.0,0.0,0.09523809523809523
synthetic45,synthetic_test_005,synthetic_test_005,sbm,random,20260516,16,none,finished,0.4665107299324274,0.4665107299324274,1.0,0.0,0.3160809999681078,201,,,,,,none,201,0.4925373134328358,0.7313432835820896,0.7761194029850746,,,,,0.03918575439633516,0.0,0.0,0.09523809523809523
synthetic45,synthetic_test_005,synthetic_test_005,sbm,random,20260517,16,none,finished,0.4616346130046286,0.4616346130046286,1.0,0.0,0.2602356999996118,201,,,,,,none,201,0.4925373134328358,0.7313432835820896,0.7562189054726368,,,,,0.10985517954780553,0.0,0.0,0.09523809523809523
synthetic45,synthetic_test_005,synthetic_test_005,sbm,SASB-N-degree-source,20260513,128,SASB-N-degree-source,finished,0.3204004851365065,0.3204004851365065,1.0,0.0,3.638769599958323,201,128.0,0.6368159203980099,6.0,0.96875,faf23fa8a9a56e9d,dynamic_current_gcc,201,0.3681592039800995,0.4029850746268656,0.4378109452736318,0.92456598697521,0.3580122659037598,0.3580122659037598,62.02985074626866,0.6931550169942368,0.6666666666666666,0.6363636363636364,0.8571428571428571
synthetic45,synthetic_test_005,synthetic_test_005,sbm,SASB-N-degree-source,20260514,128,SASB-N-degree-source,finished,0.3204004851365065,0.3204004851365065,1.0,0.0,3.694353399972897,201,128.0,0.6368159203980099,6.0,0.953125,faf23fa8a9a56e9d,dynamic_current_gcc,201,0.3681592039800995,0.4029850746268656,0.4378109452736318,0.92456598697521,0.358325884667125,0.358325884667125,62.02985074626866,0.6931550169942368,0.6666666666666666,0.6363636363636364,0.8571428571428571
synthetic45,synthetic_test_005,synthetic_test_005,sbm,SASB-N-degree-source,20260515,128,SASB-N-degree-source,finished,0.3204004851365065,0.3204004851365065,1.0,0.0,4.191141200019047,201,128.0,0.6368159203980099,6.0,0.9453125,faf23fa8a9a56e9d,dynamic_current_gcc,201,0.3681592039800995,0.4029850746268656,0.4378109452736318,0.92456598697521,0.3576162098802437,0.3576162098802437,62.02985074626866,0.6931550169942368,0.6666666666666666,0.6363636363636364,0.8571428571428571
synthetic45,synthetic_test_005,synthetic_test_005,sbm,SASB-N-degree-source,20260516,128,SASB-N-degree-source,finished,0.3204004851365065,0.3204004851365065,1.0,0.0,3.654914900020231,201,128.0,0.6368159203980099,6.0,0.96875,faf23fa8a9a56e9d,dynamic_current_gcc,201,0.3681592039800995,0.4029850746268656,0.4378109452736318,0.92456598697521,0.3587339910445398,0.3587339910445398,62.02985074626866,0.6931550169942368,0.6666666666666666,0.6363636363636364,0.8571428571428571
synthetic45,synthetic_test_005,synthetic_test_005,sbm,SASB-N-degree-source,20260517,128,SASB-N-degree-source,finished,0.3204004851365065,0.3204004851365065,1.0,0.0,3.5387746000196785,201,128.0,0.6368159203980099,6.0,0.953125,faf23fa8a9a56e9d,dynamic_current_gcc,201,0.3681592039800995,0.4029850746268656,0.4378109452736318,0.92456598697521,0.3576875087147514,0.3576875087147514,62.02985074626866,0.6931550169942368,0.6666666666666666,0.6363636363636364,0.8571428571428571
synthetic45,synthetic_test_005,synthetic_test_005,sbm,SASB-N-degree-source,20260513,16,SASB-N-degree-source,finished,0.3334447167149327,0.3334447167149327,1.0,0.0,1.8058454999700189,201,16.0,0.0796019900497512,6.0,1.0,964a407e6d2b1d00,dynamic_current_gcc,201,0.3781094527363184,0.4378109452736318,0.4676616915422885,0.5066139164131453,0.4575042770938293,0.4575042770938293,12.855721393034823,0.3527840993054529,0.3333333333333333,0.2727272727272727,0.2857142857142857
synthetic45,synthetic_test_005,synthetic_test_005,sbm,SASB-N-degree-source,20260514,16,SASB-N-degree-source,finished,0.3334447167149327,0.3334447167149327,1.0,0.0,1.8315774000366216,201,16.0,0.0796019900497512,6.0,1.0,964a407e6d2b1d00,dynamic_current_gcc,201,0.3781094527363184,0.4378109452736318,0.4676616915422885,0.5066139164131453,0.4649373498254096,0.4649373498254096,12.855721393034823,0.3527840993054529,0.3333333333333333,0.2727272727272727,0.2857142857142857
synthetic45,synthetic_test_005,synthetic_test_005,sbm,SASB-N-degree-source,20260515,16,SASB-N-degree-source,finished,0.3334447167149327,0.3334447167149327,1.0,0.0,1.7677261999924667,201,16.0,0.0796019900497512,6.0,1.0,964a407e6d2b1d00,dynamic_current_gcc,201,0.3781094527363184,0.4378109452736318,0.4676616915422885,0.5066139164131453,0.4556089916164543,0.4556089916164543,12.855721393034823,0.3527840993054529,0.3333333333333333,0.2727272727272727,0.2857142857142857
synthetic45,synthetic_test_005,synthetic_test_005,sbm,SASB-N-degree-source,20260516,16,SASB-N-degree-source,finished,0.3334447167149327,0.3334447167149327,1.0,0.0,1.804754499986302,201,16.0,0.0796019900497512,6.0,1.0,964a407e6d2b1d00,dynamic_current_gcc,201,0.3781094527363184,0.4378109452736318,0.4676616915422885,0.5066139164131453,0.4655592403726732,0.4655592403726732,12.855721393034823,0.3527840993054529,0.3333333333333333,0.2727272727272727,0.2857142857142857
synthetic45,synthetic_test_005,synthetic_test_005,sbm,SASB-N-degree-source,20260517,16,SASB-N-degree-source,finished,0.3334447167149327,0.3334447167149327,1.0,0.0,1.7663307000184432,201,16.0,0.0796019900497512,6.0,1.0,964a407e6d2b1d00,dynamic_current_gcc,201,0.3781094527363184,0.4378109452736318,0.4676616915422885,0.5066139164131453,0.4574746632582454,0.4574746632582454,12.855721393034823,0.3527840993054529,0.3333333333333333,0.2727272727272727,0.2857142857142857
synthetic45,synthetic_test_005,synthetic_test_005,sbm,SASB-N-degree-source,20260513,32,SASB-N-degree-source,finished,0.3229004232568501,0.3229004232568501,1.0,0.0,2.050948199990671,201,32.0,0.1592039800995024,6.0,1.0,e87bdcae99eafb1f,dynamic_current_gcc,201,0.373134328358209,0.4079601990049751,0.4577114427860697,0.6552957761328307,0.4244660648636922,0.4244660648636922,22.40796019900497,0.43850302940741837,0.6666666666666666,0.45454545454545453,0.5238095238095238
synthetic45,synthetic_test_005,synthetic_test_005,sbm,SASB-N-degree-source,20260514,32,SASB-N-degree-source,finished,0.3229004232568501,0.3229004232568501,1.0,0.0,2.021456399990712,201,32.0,0.1592039800995024,6.0,1.0,e87bdcae99eafb1f,dynamic_current_gcc,201,0.373134328358209,0.4079601990049751,0.4577114427860697,0.6552957761328307,0.4253176085527318,0.4253176085527318,22.40796019900497,0.43850302940741837,0.6666666666666666,0.45454545454545453,0.5238095238095238
synthetic45,synthetic_test_005,synthetic_test_005,sbm,SASB-N-degree-source,20260515,32,SASB-N-degree-source,finished,0.3229004232568501,0.3229004232568501,1.0,0.0,1.989254800020717,201,32.0,0.1592039800995024,6.0,1.0,e87bdcae99eafb1f,dynamic_current_gcc,201,0.373134328358209,0.4079601990049751,0.4577114427860697,0.6552957761328307,0.4253342728434016,0.4253342728434016,22.40796019900497,0.43850302940741837,0.6666666666666666,0.45454545454545453,0.5238095238095238
synthetic45,synthetic_test_005,synthetic_test_005,sbm,SASB-N-degree-source,20260516,32,SASB-N-degree-source,finished,0.3229004232568501,0.3229004232568501,1.0,0.0,1.9835642999969425,201,32.0,0.1592039800995024,6.0,1.0,e87bdcae99eafb1f,dynamic_current_gcc,201,0.373134328358209,0.4079601990049751,0.4577114427860697,0.6552957761328307,0.4223608711353641,0.4223608711353641,22.40796019900497,0.43850302940741837,0.6666666666666666,0.45454545454545453,0.5238095238095238
