dataset_group,method,removed_ratio,gcc_ratio
realworld_completed,SASB,0.78,0.04755007313041573
realworld_completed,SASB,0.79,0.046250301096306075
realworld_completed,SASB,0.8,0.04356407665780449
realworld_completed,SASB,0.81,0.04241652516745769
realworld_completed,SASB,0.8200000000000001,0.04043700072955964
realworld_completed,SASB,0.8300000000000001,0.038968756694461454
realworld_completed,SASB,0.84,0.037200907560083936
realworld_completed,SASB,0.85,0.035472670198854965
realworld_completed,SASB,0.86,0.033606504748722135
realworld_completed,SASB,0.87,0.031974963305628934
realworld_completed,SASB,0.88,0.03070894129832664
realworld_completed,SASB,0.89,0.02955503495434495
realworld_completed,SASB,0.9,0.028147209032762213
realworld_completed,SASB,0.91,0.027018426905280432
realworld_completed,SASB,0.92,0.025386906884422945
realworld_completed,SASB,0.93,0.02343152890056821
realworld_completed,SASB,0.9400000000000001,0.020976378559623088
realworld_completed,SASB,0.9500000000000001,0.01977021927097402
realworld_completed,SASB,0.96,0.018124763519318896
realworld_completed,SASB,0.97,0.01605751012988356
realworld_completed,SASB,0.98,0.013895091612025423
realworld_completed,SASB,0.99,0.011604533802799254
realworld_completed,SASB,1.0,0.0039801421375867405
synthetic45,M5,0.0,1.0
synthetic45,M5,0.01,0.9971959640650567
synthetic45,M5,0.02,0.9933833125470252
synthetic45,M5,0.03,0.982929573412645
synthetic45,M5,0.04,0.9673865408431193
synthetic45,M5,0.05,0.9543043016569971
synthetic45,M5,0.06,0.9413789955505577
synthetic45,M5,0.07,0.9276526662281436
synthetic45,M5,0.08,0.9090471039260283
synthetic45,M5,0.09,0.879921350638707
synthetic45,M5,0.1,0.8575402068522056
synthetic45,M5,0.11,0.8432684546257841
synthetic45,M5,0.12,0.8262163711428092
synthetic45,M5,0.13,0.7995597104516505
synthetic45,M5,0.14,0.7789131851593594
synthetic45,M5,0.15,0.7538529207861366
synthetic45,M5,0.16,0.7375841722357159
synthetic45,M5,0.17,0.7162463830806891
synthetic45,M5,0.18,0.7032686558359286
synthetic45,M5,0.19,0.6908018838771004
synthetic45,M5,0.2,0.6782182540892768
synthetic45,M5,0.21,0.6545711103247949
