auc,dataset_group,final_gcc_ratio,graph_id,graph_name,graph_type,method,normalized_auc,observed_remove_ratio,remove_ratio_gcc_le_0.1,remove_ratio_gcc_le_0.2,remove_ratio_gcc_le_0.5,removed_nodes,runtime_seconds,status
0.2377357250638837,realworld_completed,0.0,econ_mahindas,econ-mahindas,economic,dynamic-degree,0.2377357250638837,1.0,0.3028616852146264,0.29968203497615264,0.2702702702702703,1258,7.240710100000798,finished
0.2337339911687616,realworld_completed,0.0,econ_mahindas,econ-mahindas,economic,dynamic-k-core,0.2337339911687616,1.0,0.2933227344992051,0.2845786963434022,0.2678855325914149,1258,8.452222800000527,finished
0.21088815365444935,realworld_completed,0.0,econ_mahindas,econ-mahindas,economic,M5,0.21088815365444935,1.0,0.2543720190779014,0.2496025437201908,0.2313195548489666,1258,944.3027710000006,finished
0.4233376975591508,realworld_completed,0.0,econ_mahindas,econ-mahindas,economic,random,0.4233376975591508,1.0,0.7138314785373608,0.6406995230524642,0.4491255961844197,1258,17.201393299999836,finished
0.22214646611448252,realworld_completed,0.0,econ_mahindas,econ-mahindas,economic,SASB,0.22214646611448252,1.0,0.2647058823529412,0.2599364069952305,0.2527821939586645,1258,116.55591679999998,finished
0.3231379962192817,realworld_completed,0.0,football,football,social,dynamic-closeness,0.3231379962192817,1.0,0.5652173913043478,0.4608695652173913,0.28695652173913044,115,0.5596053999999997,finished
0.4253686200378072,realworld_completed,0.0,football,football,social,dynamic-degree,0.4253686200378072,1.0,0.6260869565217392,0.6086956521739131,0.5043478260869565,115,0.15227669999999982,finished
0.4165217391304347,realworld_completed,0.0,football,football,social,dynamic-k-core,0.4165217391304347,1.0,0.6086956521739131,0.5826086956521739,0.5043478260869565,115,0.1916587999999999,finished
0.3131568998109641,realworld_completed,0.0,football,football,social,M5,0.3131568998109641,1.0,0.5478260869565217,0.4434782608695652,0.26956521739130435,115,1.4015928999999998,finished
0.4782986767485822,realworld_completed,0.0,football,football,social,random,0.4782986767485822,1.0,0.7913043478260869,0.7391304347826086,0.5043478260869565,115,0.16275960000000025,finished
