dataset,dataset_label,graph_id,method,candidate_policy,seed,steps,initial_candidate_count,candidate_count_mean,candidate_fraction_mean,inter_community_ratio_mean,boundary_ratio_mean,bridge_ratio_mean,low_cn_ratio_mean,matched_feature_difference_mean,strict_match_count,degree_only_match_count,community_only_match_count,fallback_count,initial_candidate_hash,initial_source_node_hash
realworld_completed,realworld24,ca_csphd,Structure-matched-candidate,structure_matched,20260513,1043,224,10.675934803451582,0.9833962721230307,0.06114209283054113,0.06114209283054113,0.9929384909707092,0.9997181583214929,0.0,11135,0,0,0,3fbf47718c3ef8a9be88030dc159c0e3dbc00d9b2303b7f020b724e6db885466,70563d504c6c9df6e46b0c33a7765a935abc6392941ebfa192ba34aa9ae1c42a
realworld_completed,realworld24,ca_netscience,Random-size-matched-candidate,random_size_matched,20260513,914,180,32.07768052516411,0.8835075920095348,0.13818918022910862,0.13818918022910862,0.29362801428079677,0.6408836725609176,0.06965355797138148,0,0,0,0,6ac88a22680c95bf4594fb28361227901ccfe2ce352a322d4e98fec82d1ba3d1,a982535c6f0a7764b25bde0f073e4410f897da11bed70e94a4a47a1675e89d93
realworld_completed,realworld24,ca_netscience,SASB-candidate,sasb,20260513,914,180,29.26805251641138,0.9003693318825932,0.1803405766927126,0.1803405766927126,0.2862246828446072,0.6620303244939081,0.0,0,0,0,0,15b4dcb2f7181514e3886d4b3a59e4d8c5aa6b2ac0ea455c9029106fae93837d,a982535c6f0a7764b25bde0f073e4410f897da11bed70e94a4a47a1675e89d93
realworld_completed,realworld24,ca_netscience,Structure-matched-candidate,structure_matched,20260513,914,180,29.685995623632387,0.8992757638553461,0.17767985229639982,0.17767985229639982,0.2887696941036191,0.6599358816529377,0.0,27133,0,0,0,91fa5701fc94bb8a06574ad9e7f41b53527dc94a3d8734e581dab79dd0543cda,a982535c6f0a7764b25bde0f073e4410f897da11bed70e94a4a47a1675e89d93
realworld_completed,realworld24,football,Random-size-matched-candidate,random_size_matched,20260513,613,118,75.94616639477977,0.41008501819088344,0.14264201502488055,0.14264201502488055,0.161236282052424,0.6766044680911789,0.45288595458086495,0,0,0,0,9d52f7b95232c9947a71e636b4976f7ec312a512c1457b3493812d6edcf28762,0a06e0e5fdb166463dc18fbbb70dd5fb980a3ac74f2a928ef6f8ad90866d114b
realworld_completed,realworld24,football,SASB-candidate,sasb,20260513,613,118,67.87928221859707,0.5068804718150014,0.353534287368182,0.353534287368182,0.19631410284405246,0.8883742573251522,0.0,0,0,0,0,9c7933bde65b54a308ed6a846a53130d7b85a6a3429fb5052e99b2eddf8f83a0,0a06e0e5fdb166463dc18fbbb70dd5fb980a3ac74f2a928ef6f8ad90866d114b
realworld_completed,realworld24,football,Structure-matched-candidate,structure_matched,20260513,613,118,73.74388254486134,0.44216895170321285,0.38527770203365086,0.38527770203365086,0.17381946570956672,0.9313191819489175,0.0,45205,0,0,0,a821686276d742ac79686eb3e2485ed888e3b709775ec5719221e847baeb1069,0a06e0e5fdb166463dc18fbbb70dd5fb980a3ac74f2a928ef6f8ad90866d114b
realworld_completed,realworld24,ia_email_univ,Random-size-matched-candidate,random_size_matched,20260513,5451,512,306.20803522289486,0.265534637219225,0.14475355608883902,0.14475355608883902,0.19451113109019472,0.667989551642306,0.5901225704088423,0,0,0,0,b9d6d5627378a1cd1aab81ef0931e2da1755793448896e8189cec6b0a23100af,244c1e586cf3136526bced6bccacd86641ed3f473dac92146edac46a9fe7588c
realworld_completed,realworld24,ia_email_univ,SASB-candidate,sasb,20260513,5451,512,288.44542285819114,0.37437612442511375,0.4669677444302765,0.4669677444302765,0.18448468409303478,0.8537212183194344,0.0,0,0,0,0,401381a4c621249af4468e6c06dc6a33da07123dbe32235cdb6e5681dcce1771,244c1e586cf3136526bced6bccacd86641ed3f473dac92146edac46a9fe7588c
realworld_completed,realworld24,ia_email_univ,Structure-matched-candidate,structure_matched,20260513,5451,512,300.14639515685195,0.3368040195957276,0.48244636966292365,0.48244636966292365,0.1723724085422898,0.8765949344240168,0.0,1636098,0,0,0,41148b99bfe3397d14fd8814d1fe80b090d728b1ef94611fac7fd1f95cfe8e40,244c1e586cf3136526bced6bccacd86641ed3f473dac92146edac46a9fe7588c
